Epoch,Coding Loss,Reconstruction Loss,Total Loss
0,0.02346513757748263,547.7479063197545,547.771371457332
1,6.163297669546945,276.5820708356585,282.745370047433
2,6.526320819854736,269.33480085100445,275.86112287248886
3,6.654813897269113,263.90926461356025,270.56407836914065
4,6.624789668491909,261.0025882393973,267.62738316127235
5,6.7748082160949705,259.1868073381696,265.9616127232143
6,6.60131052834647,258.31648681640627,264.9177978515625
7,6.702105955396379,257.4208694893973,264.1229706682478
8,6.768716057368687,256.41672973632814,263.18544607979914
9,6.738238642556326,256.2263221958705,262.96456420898437
10,6.707605179377965,255.78558820452008,262.4932008579799
11,6.744646821703229,255.28162580217634,262.0262740652902
12,6.583713308061872,254.71132882254463,261.29503644670757
13,6.766383503505162,254.67848423549108,261.4448690359933
14,6.803573586600168,254.04575561523438,260.84933035714283
15,6.637271679469517,253.90065761021205,260.53792236328127
16,6.493097133636475,253.44808262416294,259.94118059430804
17,6.533719250815255,253.83456438337055,260.36828177315846
18,6.539462381090437,253.93242606026786,260.47188494001114
19,6.787111952645438,252.91648053850446,259.7035916573661
20,6.60301785332816,253.11757568359374,259.7205911690848
21,6.7094737134660996,252.85560128348214,259.5650735909598
22,6.765401981898717,252.55889683314732,259.3242982700893
23,6.495280164991106,252.76009974888393,259.2553782435826
24,6.721504091535296,252.38471121651784,259.10621547154017
25,6.722371788024902,252.12068795340403,258.8430594308036
26,6.6232020350864955,251.96647112165178,258.58967564174105
27,6.668114182608468,251.97221697126116,258.6403301130022
28,6.854337441580636,251.80605800083706,258.6603955078125
29,6.825981641496931,251.6545778111049,258.48055681501114
30,6.702468727656774,251.20094656808035,257.90341116768974
31,6.813895062037877,251.60609165736608,258.4199836077009
32,6.6333755602155415,251.43248116629465,258.0658642578125
33,6.780974687848772,250.99434727260044,257.7753241838728
34,6.76949040549142,250.92033394949777,257.6898245675223
35,6.924919997623989,250.83346121651786,257.7583771623884
36,6.865524940490722,250.9439031110491,257.809429234096
37,6.836051148005894,251.04197021484376,257.8780233328683
38,6.744123753138951,251.05360543387278,257.7977303641183
39,6.87694514138358,251.09324166434152,257.9701939174107
40,6.83530024937221,250.6568669782366,257.4921683175223
41,6.8992708287920275,250.74537981305804,257.6446543666295
42,6.763736760275704,250.65855869838168,257.4222971888951
43,6.964836916242327,250.3149325125558,257.27976579938615
44,6.978077081952776,250.19209507533483,257.17016967773435
45,7.050026365007673,250.40248343331473,257.45250906808036
46,6.779239986964635,250.29042131696428,257.06966326032364
47,6.980546482631138,250.19189174107143,257.17243443080355
48,6.906206577845982,250.2176588657924,257.1238635253906
49,6.8380882344927105,250.08039132254464,256.91848161969864
50,6.731975383758545,250.39137067522321,257.1233478655134
51,6.8229142216273715,250.54234619140624,257.36526088169643
52,6.890358581542968,249.7514200265067,256.6417808314732
53,7.07140419278826,249.68522827148436,256.756635219029
54,6.775056923457554,250.11685965401784,256.8919206891741
55,6.797692555018834,250.2385084751674,257.03620169503347
56,6.885808914729527,249.74557582310268,256.6313863699777
57,6.903181446620396,249.4627085658482,256.3658872767857
58,7.018397955213274,249.87249354771205,256.89089372907364
59,7.0387053925650465,249.45276349748883,256.4914690290179
60,6.720459946223667,249.65904575892858,256.3795057896205
61,6.98837334224156,249.55646693638394,256.5448385184152
62,6.810446284157889,249.7423761858259,256.5528227887835
63,6.863448055812291,250.07199340820313,256.9354427664621
64,7.062268548692976,249.296537562779,256.3588094656808
65,6.8863811111450195,249.56462768554687,256.451010219029
66,6.985466940743582,249.71089686802455,256.6963616071429
67,6.934529882158552,249.67417933872767,256.6087069266183
68,6.97273475919451,249.6708114188058,256.64355050223213
69,6.9204613331386025,249.15673496791294,256.07719464983256
70,7.061498952593122,249.31730904715403,256.37880440848215
71,6.793814424787249,249.46846540178572,256.26228288922994
72,7.0051093019757955,249.6967391531808,256.70184936523435
73,6.9087414414542065,249.42910661969867,256.3378489467076
74,6.764879787990025,249.21367344447543,255.97855224609376
75,6.929759499686105,248.96591866629464,255.89568167550223
76,7.0339280700683595,249.4087132045201,256.442646484375
77,7.073631392887661,250.32625453404017,257.3998856026786
78,7.012501880100795,249.66132742745535,256.6738289969308
79,6.914419762747628,249.05482177734376,255.96924386160714
80,7.0356231144496375,249.43874459402903,256.474364188058
81,6.870532471793038,249.49208426339285,256.362616141183
82,6.846787158421107,249.44615304129465,256.2929410226005
83,6.977708843776158,249.33270385742188,256.3104138183594
84,6.935117372785296,249.09687395368303,256.0319916643415
85,7.0020520292009625,249.06928152901784,256.0713326590402
86,6.8909557342529295,249.13271118164062,256.02366437639506
87,6.901366579873221,249.4772035435268,256.3785707310268
88,6.988281713213239,249.04175362723214,256.0300352260045
89,6.901387252807617,248.92590105329242,255.8272882952009
90,6.9992125129699705,249.26961146763392,256.2688249860491
91,6.902558928898403,248.94781529017857,255.85037283761162
92,7.083426554543632,248.9529195731027,256.03634835379466
93,6.925298129490444,248.94046543666295,255.86576328822545
94,6.777220755985805,248.91849487304688,255.69571707589284
95,7.027101366860526,248.74555594308035,255.77265607561384
96,6.9310202843802315,249.05752319335937,255.98854474748885
97,6.992454858507429,249.33887887137277,256.3313307407924
98,6.993595725468227,248.9662735421317,255.95986833844867
99,7.011266389574323,248.80539603097097,255.81666486467634
100,6.786422061920166,248.88802961077008,255.67444859095983
101,7.01723942892892,249.08506905691965,256.102309047154
102,7.071107929774693,248.7587540108817,255.82986432756695
103,6.878394647325789,248.54712472098214,255.42551740373884
104,7.141834370749337,248.81804251534598,255.95987880161832
105,6.996216618674142,248.51261387416295,255.5088321358817
